Name,Address,Postal,Latitude,Longitude,Website,Email,Phone,Description,Fees,Eligibility,Languages,Areas Served,Last Updated,Citizen test preparation,Help with daily life,Refugee services,Job language training,Job search support,LGBT services,Language assessment,Language training,Other services,Senior services,Women services,Youth services
Catholic Crosscultural Services - Mississauga Office,"3660 Hurontario Street SW, 7th Floor Mississauga, ON L5B 3C4",L5B 3C4,43.5921908791234,-79.6339436019936,http://cathcrosscultural.org/,NA,905-273-4140,"Settlement Services Provides information and orientation services to immigrants and refugees * connects clients to basic services in the community including all levels of government * offers counselling and support to families through case management, support groups, crisis intervention, etc Services available also include: *Individual assessment of the newcomerâs settlement needs and development of a detailed settlement plan *Workshops to help newcomers develop an understanding of life in Canada *Making connections with available community services in the areas of health, housing, education, childcare, employment, finance, immigration, post-secondary education, language learning and legal supports. *Help with understanding and completing government forms and applications *Connection with community and volunteer opportunities *Ongoing support to meet settlement and integration needs of newcomers and their families Refugee Sponsorship Training Program - The RSTP is a program designed to support the Sponsorship Agreement Holders (SAHs) of Canada, their Constituent Groups, Groups of Five and Community Sponsors interested in sponsoring refugees Supportive Services for Women - provides supportive counselling to newcomer women who are experiencing domestic violence * services are linguistically and culturally sensitive for the clients * provides individual crisis intervention counselling with no waiting list * support groups for recently separated/divorced women workshops on self-esteem, anger management, assertiveness, job-search, stress management, health alternatives, parenting and more * networking for isolated women through groups *helps victims of violence to identify and examine their options in order to survive and work through their crisis * accompanies victims to hospitals, police stations or to court and advocates on their behalf when necessary *refers client to other agencies or professionals when appropriate Transitional Housing Support Program - assists women who are facing violence to access all the supports and services they require to keep themselves and their children safe. THSP Advocates maintain contact with women to assist them with any housing/landlord-tenant issues that may arise. The program service is free to survivors of woman abuse within the Peel Region Language Instruction For Newcomers To Canada (LINC) - provides English classes and related services to assist youth, adult and senior newcomers to settle and adapt in Canada * assessment test required * free childminding for students Our Mental Health Program - offers cultural and language specific counselling to newcomer individuals, couples and families. Through individual counselling and educational workshops, newcomers will receive the support and tools needed to manage the challenges of stress, anxiety, depression, substance abuse, parenting, family conflict, trauma and other life transitions. Services are currently available in Hindi, Arabic and English. English Conversation group - gives newcomers opportunity to practice spoken English every Tue from 6pm-7:30 pm. Service Canada Clinic - helps with CPP/OAS/EI once a month; by appointment only Income Tax Clinic - by appointment only; March and April every year Volunteer opportunities",None,Immigrants and residents of Peel,English * Arabic * Chinese (Mandarin) * Dari * Farsi (Persian) * Filipino * Gujurati * Hindi * Korean * Pashto * Polish * Portuguese * Punjabi * Russian * Sinhala * Spanish * Tamil * Urdu,Peel Region,"April 24, 2020",no,yes,no,no,no,no,no,no,no,no,yes,no
CEREFRAC (Centre culturel de ressources francophone pour les communautÃ©s ethniques),"2 County Court Blvd, Suite 335 Brampton, ON L6W 3W8",L6W 3W8,43.6629242405122,-79.7278030019914,http://www.cerefrac.ca,info@cerefrac.ca,905-488-9181,"A charity organization assisting French minorities of different culture, tradition and religion to integrate in Canadian society. Programs and services: Settlement information service Mentor training for adults, youth and children Prevention and awareness workshops Workshops for immigrant men (violence against women) Homework assistance programs youth Donation of items of basic necessities Recreation activities for youth, women, children and families Translation and interpretation",None,No age limit,English * French * Kinyarwanda * Swahili,Peel Region,"November 11, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chinese Association of Mississauga,"Golden Square Centre 1177 Central Pkwy W, Unit 16 Mississauga, ON L5C 4P3",L5C 4P3,43.5683576791243,-79.6633064019943,http://chineseassociationmississauga.com,NA,905-275-8558,"Chinese Association * Community/Social Activities for seniors and members * Language Instruction For Newcomers To Canada (LINC) * ESL * Newcomers Settlement Services * Child care * Volunteer opportunities and training * Job search, Resume and Cover Letter Workshop * Computer Internet Service for settlement need * Housing and Referral Services * Community Volunteer Income Tax Program for low income families, seniors, and students * Assisting low-income families and seniors to apply for Ontario Works in Peel and Peel Access to Housing * Interpretive services * Commissioner for taking affidavits *",Membership,NA,English * Chinese (Mandarin) * Interpretive Services,"Orangeville, Toronto (Etobicoke), Dufferin County, Halton Region, and Peel Region","March 4, 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COSTI - Enhanced Language Training Services, Brampton","10 Gillingham Dr, Suite 109A Brampton, ON L6X 5A5",L6X 5A5,43.7034231352731,-79.7849298019901,http://costi.org,peelskillstraining@costi.org,905-451-7147,"Enhanced Language Training/Job Search program for Internationally Trained and Experienced Professionals who have prior experience in Accounting, Office Administration and Customer Service, Teaching, Healthcare or IT sectors Program components: Job Search - Labour Market Information, Resume Writing and Cover Letters, Interviews and Mock Interviews Canadian workplace language and culture On line sector specific on line learning Participants must be landed, conventional refugees, or individuals on a Minister's Permit. Language assessments will be arranged to determine eligibility at no cost",None,"Internationally Experienced Accounting, Finance, Workplace Communications and Customer Service, Teaching, Healthcare or IT professionals. Language assessments will be arranged to determine eligibility.",English,Toronto and Peel Region,"August 5, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COSTI - Language, Employment, and Settlement Services, Brampton","7700 Hurontario St, Suite 601 Brampton, ON L6Y 5B4",L6Y 5B4,43.6595513791211,-79.7252889019915,http://costi.org,peelskillstraining@costi.org,647-725-1681,"Settlement services are available to recently arrived immigrants and settled immigrants who continue to require social and government services Enhanced Language Training Program: For internationally trained professionals who have prior experience/training in the accounting, office administration and customer service, teaching or IT sectors Services are available to individuals who: have acquired professional qualifications outside of Canada and who have been unable to access employment in their field of expertise are able to communicate at an advanced level of English have occupational training and experience in the respective profession or trade Participants must be landed, conventional refugees, or individuals on a Minister's Permit. Language assessments will be arranged to determine eligibility",No fee,"Participants must be landed, conventional refugees, or individuals on a Minister's Permit * Settlement services are available to recently arrived immigrants and settled immigrants who continue to require social and government services",English,Peel Region,"March 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COSTI Immigrant Services - Employment Ontario Services - Winston Churchill Location,"6750 Winston Churchill Blvd, 8A Mississauga, ON L5N 4C4",L5N 4C4,43.5827345791238,-79.7651226731583,http://www.costi.org,mississaugaemployment@costi.org,905-567-0482,"Helps Ontarians find sustainable employment * assessment of skills, capabilities, interests and experience * job search strategies, including resume preparation * information about different careers and occupations, the local labour market, employment and training opportunities * on-the-job training and/or work experience and, in some cases, additional support to help maintain employment * information about all Employment Ontario programs and services * access to Second Career program to provide laid-off workers with skills training for high-demand occupations * information and referral to, other community services and supports Incorporates services previously provided through Job Connect, Employment Assistance Services (EAS), Employment Resource Centres and other programs",None,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employers Assisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of school Employers can get help in identifying their human resource skills requirements, matching of position/workplace needs to participantsâ skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English * Bengali * Czech * Hindi * Polish * Portuguese * Slovak * Spanish * Tamil * Urdu,Peel Region,"February 6, 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dixie Bloor Neighbourhood Centre - Employment Ontario Employment Services,"3415 Dixie Road, Unit 1 Mississauga, ON L4Y 2B1",L4Y 2B1,43.6180485791224,-79.5948544019928,http://dixiebloor.ca/employment-2/employment-services/,employmentservices@dixiebloor.ca,905-624â2442,"Helping unemployed or underemployed individuals find sustainable employment. Assisting with career, employment and training needs of individuals as well as skilled labour needs of employers. Also helping with: Information, Resources and Referrals, Individual Career and Employment Counseling, Assessment, Workshops, Service Planning, Job Search, Skills Enhancement And Training Support for example: Second Career; Job Matching, Placement and Incentives, Job Retention as well as The Mentoring Partnership Program for Internationally Trained Professionals. For more information, please visit Employment Ontario website https://www.ontario.ca/page/employment-ontario or Phone 1-800-387-5656. For more information about Mentoring Partnership Program, kindly visit our website www.thementoringpartnership.com The Mentoring Partnership program is geared towards the skilled immigrant. This program matches unemployed newcomers (less than 3 years in Canada) who are Internationally Trained Professionals (Mentees) with an employed Canadian counterpart (Mentors) in the same occupation, based on shared educational background, similar work experience and common career goals. Duration of the match is up to 24 hours over a four-month period Anyone interested in becoming a mentor (volunteer) should register on our website: www.thementoringpartnership.com Mentees - must be unemployed and entitled to work in Canada work less than an average of 20 hrs per week and be seeking FT employment must have CLB level 8 or higher English have worked at least 3 years in profession and no more than a 3-year break in this profession have gone already through job search preparation course would benefit from mentoring To become a Mentee, contact Nitin Dhora, Coordinator, Employment Ontario Employment Services & Mentoring Partnership Program 905-624-2442 ext.2220 nitin@dixiebloor.ca or, Jennifer Lewis jenniferl@dixiebloor.ca 905-624-2442 ext.2221",None - Services are free,NA,English,Peel Region,"May 14, 2019",yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no
"Indus Community Services - Brampton Branch Office - Family Services - Child, Youth and Parenting (CYP) Program","William G Davis Centre for Families, Safe Centre of Peel 60 West Dr Brampton, ON L6T 3T6",L6T 3T6,43.7032095667605,-79.72511940199,http://induscs.ca/,info@induscs.ca,905-450-4650,"A Child, Youth and Parenting counsellor supports parents and families dealing with cultural and intergenerational conflict, providing positive parenting strategies and helping families understand the",None,"Parents, Families, children, youth",English * Arabic * Hindi * Gujurati * Punjabi * Tamil * Urdu * Bengali,"Brampton, Caledon, Mississauga (Malton), and Toronto (Etobicoke)","April 26, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indus Community Services - Brampton Branch Office - Newcomer Services - Employment Services,"Service Canada Building 60 Gillingham Dr, Unit 500 Brampton, ON L6X 0Z9",L6X 0Z9,43.7041851230657,-79.7865229731545,http://induscs.ca/,info@induscs.ca,905-459-4776,"Facilitates the employment for new immigrants to Canada by familiarizing them with effective job-search practices and technique Employment services include: skills assessment resume and cover letter writing coaching for a successful interview labour market research, job fairs and networking opportunities access to a resource centre and use of computers, telephone, fax and photocopier Job Search Workshops: Designed to support newcomers with one-on-one employment counselling sessions and a variety of employment related workshops and job fairs. It is open to all newcomers. We also coordinate job fairs to facilitate the connection between employers and newcomers. These workshops take place bi-monthly and are free of charge",None,Landed Immigrants * Convention Refugees * Minister's Permit Holders * Government Assisted Refugees ( GAR) * Privately Sponsored Refugees ( PSR),English * Bengali * Gujarati * Hindi * Punjabi * Tamil * Urdu,"Brampton, Caledon, Mississauga (Malton), and Toronto (Etobicoke)","April 26, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indus Community Services - Brampton Branch Office - Newcomer Services - English Language Training (LINC),"Service Canada Building 60 Gillingham Drive, Unit 500 Brampton, ON L6X 0Z9",L6X 0Z9,43.7041851230657,-79.7865229731545,http://induscs.ca,info@induscs.ca,905-459-4776,"English language training program helps newcomers improve their overall English communication skills Services include: English language training with certified instructors and specialized software Part-Time classes from Literacy to Benchmark 8 (morning and afternoon classes available) Educational workshops, presentations and field trips Certificate of Language Proficiency to meet Citizenship requirements Transportation assistance to eligible clients Programming for school aged children during PD days, March and summer breaks Care for children aged 19 months to 6 years-providing supervised childcare, by trained staff members, for the children of clients in the LINC program Citizenship Classes - Call for dates and times",None,Adult immigrants * Convention refugees * Minister's permit holders,English * Arabic * Hindi * Gujarati * Punjabi * Tamil * Urdu,"Brampton, Caledon, Mississauga (Malton), and Toronto (Etobicoke)","April 26, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indus Community Services - Brampton Branch Office - Newcomer Services - Information and Referral,"Service Canada Building 60 Gillingham Dr, Unit 500 Brampton, ON L6X 0Z9",L6X 0Z9,43.7041851230657,-79.7865229731545,http://induscs.ca/,info@induscs.ca,905-459-4776,"Provide client-centred services that meet the clients needs Services include: Personalized, counselling and support Workshops, information sessions and guidance on skills development, training and employment Translations and interpretation for settlement related issues Commissioner of Oath services Linkages to external services such as income tax clinics and legal aid Referral to other relevant community and government resources",None,Landed Immigrants * Convention Refugees * Minister's Permit Holders * Government Assisted Refugees ( GAR) * Privately Sponsored Refugees ( PSR),English * Arabic * Hindi * Bengali * Gujarati * Punjabi * Tamil * Urdu,"Brampton, Caledon, Mississauga (Malton), and Toronto (Etobicoke)","April 26, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indus Community Services - Brampton Branch Office - Newcomer Services - Information and Referral, Employment Services - English Language Training (LINC)","60 Gillingham Dr, Suite 500 Brampton, ON L6X 0G6",L6X 0G6,43.7041851230657,-79.7865229731545,http://induscs.ca/,info@induscs.ca,905-275-2369,"Information and Referral Services include: personalized, counselling and support workshops, information sessions and guidance on skills development, training and employment translations and interpretation for settlement related issues Commissioner of Oath services linkages to external services such as income tax clinics and legal aid referral to other relevant community and government resources English Language Training ( LINC)Services include: English language training with certified instructors and specialized software part-time classes from Literacy to Benchmark 8 educational workshops, presentations, field trips Certificate of Language Proficiency to meet Citizenship requirements transportation assistance to eligible clients programming for school aged children during PD days, March and summer breaks care for children aged 19 months to 6 years Employment Services Include: Skills assessment Resume and cover letter writing Coaching for a successful interview Labour market research, job fairs and networking opportunities Access to a Resource Centre and use of computers, telephone, fax and photocopier",None,Newcomers to Canada: Landed Immigrants * Convention Refugees * Minister's Permit Holders * Government Assisted Refugees ( GAR) * Privately Sponsored Refugees ( PSR,English * Arabic * Bengali * Gujarati * Hindi * Punjabi * Tamil * Urdu,"Brampton, Caledon, Mississauga (Malton), and Toronto (Etobicoke)","August 12, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indus Community Services - Brampton Branch Office - Services for International Students,"Service Canada Building 60 Gillingham, Unit 500 Brampton, ON L6X 0Z9",L6X 0Z9,43.7041851230657,-79.7865229731545,http://induscs.ca/services-for-international-students,info@induscs.ca,905-459-4776,"Support to international students with: settlement counselling and orientation to Canada information about employment opportunities and regulation information on housing healthcare and financial support referrals to appropriate community resources assistance with documentation and form filling Provide information and orientation to newcomers to navigate the various government and social services available to them. International students receive assistance to develop social connections and participate in the community Additional support includes opportunities to participate in job fairs, networking meetings and basic employment counselling Guidance is provided to clients about Employment Insurance, Child Tax Benefit, CPP, Old Age Pension, Childrenâs Activity Tax Credits, OSAP, Ontario Drug Benefit program, scholarships, work permits, ODSP, Ontario Works etc. Many vulnerable newcomer women and students who face sexual violence are offered settlement support with safety planning, immediate crisis counseling, and appropriate, confidential referrals",None,International Students,English * Arabic * Gujarati * Hindi * Kannada * Punjabi * Tamil * Urdu,Brampton,"April 26, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malton Neighbourhood Services,"3540 Morning Star Dr Missisauga, ON L4T 1Y2",L4T 1Y2,43.7234723791189,-79.6386755731538,http://www.mnsinfo.org,info@mnsinfo.org,905-677-6270,Multi-purpose community support agency provide programs and services to community. Programs and Services: Settlement Services EarlyON Centres English Classes Black Family Support Seniors Programs Youth Programs Women Programs Airport Services (IRIS) Employment Support,None - except for computer training classes,All ages-different programs,English * Hindi * Italian * Punjabi * Spanish * Tamil * Urdu * Interpretive Services,Brampton and Mississauga,"February 28, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malton Neighbourhood Services - Brampton LINC Program,"3975 Cottrelle Blvd, Units 8-10 Brampton, ON L6P 2P9",L6P 2P9,43.783839679117,-79.6593727731519,http://www.mnsinfo.org/linc-program/,info@mnsinfo.org,905 794-7111 * For completing assessment test: 905-677-0007 ext 1,"English language instruction classes for newcomers to Canada * help develop listening, speaking, reading and writing skills Helps to use English language in everyday life Improve English language skills to get better jobs and succeed in the Canadian school system and workplace LINC classes also prepare to settle into the Canadian culture Upgrade or learn computer skills Improve English pronunciation through conversation circles Eligible students may receive free child care and bus tickets for Mississauga/Brampton for TTC Learn in fun-filled class about other cultures, make new friends and find support Prepare for the Canadian Citizenship test, TOFEL and IELTS Eligible students may receive free child care and bus tickets Language Testing Location: 263 Queen St E, Unit 14 Brampton, ON L6W 4K6 www.tcet.com",None - except for computer training classes,"â¢Open to landed immigrants and convention refugees â¢To determine which level is most appropriate, testing is conducted prior to the start of classes",English * Hindi * Italian * Punjabi * Spanish * Tamil * Urdu,Brampton,"December 14, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malton Neighbourhood Services - Immigrant Reception and Information Services (IRIS) - Airport Resettlement Assistance Program - New Immigrant Information Kiosk,"Toronto Pearson Airport 3111 Convair Dr Toronto, ON L6P 1B2",L6P 1B2,43.6713348188179,-79.5963323731555,http://www.mnsinfo.org/mns-iris/,info@mnsinfo.org,905-672-3660,Airport Resettlement Assistance Program - multi-lingual staff at Toronto Pearson Airport provide a warm welcome and assistance to government assisted and privately sponsored refugees * assist with ground transportation and connecting flights Services include: interpretation/translation in more than 34 languages facilitating the passage through Custom and Immigration at the airport arranging ground transportation and overnight accommodations providing winter clothing to government assisted refugees (Oct-April) flight rebooking and help solving other flight difficulties help solving baggage difficulties help to clients with special needs crisis intervention/assisting with medical emergencies upon arrival New immigrant information kiosk include: information/brochures and welcome packages in English and French giving personalized information presenting multi-lingual brochures distributing pamphlets on newcomer resources throughout Canada,None,Government and privately sponsored refugees,English * French,Greater Toronto Area,"December 14, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malton Neighbourhood Services - Multicultural Newcomer Services - Settlement Workers,"3975 Cottrelle Blvd, Units 8-10 Brampton, ON L6P 2P9",L6P 2P9,43.783839679117,-79.6593727731519,http://www.mnsinfo.org/settlement-services/,info@mnsinfo.org,905-677-6270,"Settlement Team offers Support Services assistance filling out government documents including applications for Canadian landed status and citizenship, pension forms, child tax deductions assistance with translation and interpretation of documents personal supportive counselling assistance with preparing documents for supportive housing accommodations Counselling, Information and Employment Services general information and advice on Canadian culture, schools and social life citizenship information and educational workshops free, walk-in legal clinic available at Malton location employment counseling, including free job search workshops help preparing resumes and cover letters referrals for mentoring for newcomer professionals Formal endorsements/attesting of settlement related documents",None - except for computer training classes,Newcomers to Canada,English * Bengali * Gujarati * Hindi * Italian * Oriya * Punjabi * Spanish * Tamil * Urdu,Brampton and Mississauga (Malton),"December 8, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malton Neighbourhood Services - Newcomer Support,"3540 Morning Star Dr Missisauga, ON L4T 1Y2",L4T 1Y2,43.7234723791189,-79.6386755731538,http://www.mnsinfo.org/settlement-services/,info@mnsinfo.org,905 794-7111,"Settlement Team offers Support Services assistance filling out government documents including applications for Canadian landed status and citizenship, pension forms, child tax deductions assistance with translation and interpretation of documents assistance with preparing documents for supportive housing accommodations Counselling, Information and Employment Services general information and advice on Canadian culture, schools and social life citizenship information and educational workshops free, walk-in legal clinic available at Malton location employment counseling, including free job search workshops help preparing resumes and cover letters referrals for mentoring for newcomer professionals The settlement services are available in Malton at 3540 Morning Star Dr and at Cottrelle Blvd, units 8-10, in North-East Brampton. Also offers 2 other programs: Syrian/ Arabic Settlement Services Punjabi Youth Program, which includes one-on-one settlement services and conversation circles",None - exept for computer training classes,Newcomers to Canada,English * Arabic * Hindi * Punjabi * Urdu,Brampton and Mississauga (Malton),"December 14, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malton Neighbourhood Services - Settlement Services - Settlement Workers in Schools (SWIS),"3540 Morning Star Dr Missisauga, ON L4T 1Y2",L4T 1Y2,43.7234723791189,-79.6386755731538,http://www.mnsinfo.org,info@mnsinfo.org,905 794-7111,"Multi-purpose community agency offering settlement services to newcomer families using local schools as the primary point of contact and provide information on schools and education, where to learn English, finding a job, housing, health care, the law, immigration Settlement workers in school guide newcomer parents and students through the Canadian education process The multi-lingual, multicultural SWIS team also: contacts all newcomers in a particular school to help parents, guardians and students learn about the school and community-based services facilitates communication between school staff and newcomers, often helping with interpretation organizes group sessions on relevant topics such as, access to language training, housing issues, education-related workshops, etc. conducts Newcomer Orientation on sessions about schools in August Schools with MNS Settlement Workers",None,Newcomners and other Immigrant students and families,English * Arabic * Punjabi,Mississauga (Malton),"December 8, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muslim Community Services - Brampton,"Civic Centre 150 Central Park Dr, Suite 304, (elevator B) Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.muslimcommunity.org,info@muslimcommunity.org,905-790-1910,"Multi-service agency focused on the needs of immigrants, newcomers, refugees and other community members through direct service provision * agency helps to reduce isolation, minimize barriers, strengthen community and thus work towards community integration Language Instruction For Newcomers To Canada (LINC) -Provides basic language training in one of the Canada's official languages to adults immigrants after their arrival in Canada so that they may acquire the necessary language skills to integrate into Canadian society English classes offered including literacy and LINC levels 1-7 at the Brampton and Mississauga locations childcare for eligible participants available at both locations Family Support Program -provides counselling and referrals to individuals and families who seek guidance and direction. Service include: crisis intervention emotional and supportive counselling safety planning transitional support developing short and long term goals educational support groups for women advocacy and assistance with legal issues referral to community resources French Language Training-(Cours de franÃ§ais pour les immigrants au Canada) CLIC Beginner courses held on Saturdays. These courses are intended for newcomer adults looking to learn and/or improve their French, and whose first language is not English. Courses are delivered virtually, and the platforms used are Zoom, Google Classroom and ESL Library. The CLIC program combines group classes, individual online meetings with a teacher as well as independent work on the platforms. Learners get to meet and communicate with their teacher and with each other in a zoom classroom setting. Senior Connection Program -senior drop-in program is to reduce the risk of the social isolation of immigrant seniors who have limited access to culturally sensitive activities.",None,Permanent resident * convention refugee * Govt assisted refugee * Persons whose permanent residence application is being processed * 18 years and over,English * French * Arabic * Bengali * Dari * Dutch * Farsi * Gujarati * Hindi * Macedonian * Persian * Punjabi * Serbian * Spanish * Tamil * Urdu,Peel Region,"September 20, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ontario Inter-Cultural Community Services - Brampton,"145 Clarence St W, Unit 27 Brampton, ON L6W 1T2",L6W 1T2,43.6878263627811,-79.740896873155,http://www.oics.ca,info@oics.ca,905-452-1775,Ontario Intercultural Community Services (OICS) is a non-profit organization providing multidisciplinary and culturally appropriate services to under-served communities in the Region of Peel through,One time fee: $15,NA,English,Peel Region,"October 28, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCAS-Peel Career Assessment Services,"975 Meyerside Dr Mississauga, ON L5T 1P9",L5T 1P9,43.6508196161665,-79.6659195019917,http://www.peelcareer.com,services@peelcareer.com,905-670-1967,"Community organization that partners with the government, business sector, and other agencies to assist individuals to achieve a full potential at school, work and life. Programs available: Employment Services-assist individual to achieve success in the labour market. Newcomer Services-provides help for Newcomers to identify and resolve settlement issues which may pose as barriers to employment. Work Hardening / Conditioning-provides individualized, work-hardening programs designed to progressively improve a participant's strength, endurance, level of productivity and work capacity. . Vocational Evaluations- provides help to individuals to identify vocational alternatives that are consistent with their aptitudes, interests, skills and physical capabilities. Business Hub-Small Business Enterprise Hub, offers the essential services and resources needed to help start-up companies evolve into full-fledged businesses. Youth Employment-is designed to provide the necessary entry level employment experience required to compete in the job market. Seniors Program-offers games, computer classes and arts and crafts Fulfillment Service assist in providing much needed employment training for the disadvantaged and disabled population in the community. It gives the opportunity to offer them real work experience, skills training and rehabilitation.",Fees for some programs,Different for each program,English * Arabic * Chinese (Mandarin) * Gujarati * Hindi * Polish * Punjabi * Spanish,Greater Toronto Area,"July 22, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCAS-Peel Career Assessment Services - Newcomer Services,"975 Meyerside Dr Mississauga, ON L5T 1P9",L5T 1P9,43.6508196161665,-79.6659195019917,http://www.peelcareer.com,services@peelcareer.com,905-670-1967,Help for Newcomers to identify and resolve settlement issues which may pose as barriers to their integration into Canadian society and entering the workforce.Participants are provided with: information and orientation referral to other community services pre-employment services career assessment with current labour market job search goal planning and preparation assistance with completion of application information on the Canadian system Commissioner of Oath services interpretation and translation services,None,Newcomers,English * Arabic * Chinese (Mandarin) * Gujarati * Hindi * Polish * Punjabi * Spanish,Brampton and Mississauga,"August 3, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peel Multicultural Council,"6630 Turner Valley Road Mississauga, ON",NA,43.5973205489909,-79.7423473731578,http://www.peelmc.com,jagdeep@peelmc.com,905-819-1144,"As an umbrella organization, aims to promote a harmonious multicultural society in Peel, by increasing communication and by building bridges of understanding between ethno-cultural groups, institutions, and the community, and to facilitate settlement and integration of newcomers to Canada Immigrant Settlement Services â provides information on services such as immigration, education, employment, financial assistance, health, legal services, housing, transportation, translation/interpretation, etc *assists with filling out forms and applications (SIN, OHIP, Child Tax, PR Renewal, ODSP, Citizenship) *advocates on clients behalf *provides referrals to other service providers Oath Commissioning services such as affidavits, declarations etc. Language Instruction for Newcomers to Canada (LINC) classes * full time and part- time evening classes for Levels 1-6 Job Search Workshop (4 Days) â helps newcomers to Canada find suitable employment *skills covered include: resume writing and cover letters *job search and networking techniques *skills to overcome 'No Canadian Work Experience' barrier *help identifying skills * strategies to tap hidden job market *understanding the Canadian labour market *interview preparations and mock interviews *workers' rights and employment standards Enhanced Language Training (ELT-12 Wks) - job specific language training *work placement *career counseling *job readiness skills (resume, cover letter, cold calling, and informational interview) *2 weeks computer classes Community Connections Mentorship Program provides assistance and support to newcomers to gain tools and resources of finding employment making use of their skills, trainings, education and thus quickly integrating into Canadian society, PMC Community Connections Program undertook many new initiatives to build elements of professional mentorship to connect newcomers to Canada with experienced Canadian professionals. *newcomers can learn about Canadian culture and customs *receive support to better cope with the stresses of settling and adapting in Canada *participate in group networking activities *develop confidence and networking skills. Community Connections Youth Program HYP -helps newcomer youth, ages 12-24, adpat to Canadian culture and become aware of different resources in the community (i.e recreation, entertainment, etc), *praticipate in group activities including: English Conversation Circles, Homework Club, playing video games, movie night, information workshops, art and literature. Other free services offered include: Commissioner of Oaths to attest documents *access to computer, fax, internet *childcare *Mississauga transit tickets All services are free.",Membership - $10/yr/individual * $20/yr/group * No fee for services provided to eligible clients. Fee for PMC Membership - $10/yr/individual * $20/yr/group,All age groups are served,English * French * Arabic * Chinese (Cantonese) * Chinese (Mandarin) * Dari * Gujurati * Hindi * Pashto * Polish * Punjabi * Spanish * Tagalog * Urdu,Peel Region,"November 19, 2019",no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes
Polycultural Immigrant and Community Services - Mississauga,"Sheridan Mall 2225 Erin Mills Pkwy, Lower floor (Settlement & Resource Centre) / Upper floor (LINC), Box 210 Mississauga, ON L5K 1T9",L5K 1T9,43.530725343747,-79.6533790308311,http://www.polycultural.org,info@polycultural.org,"*Office: 905-403-8860
*Counselling Services ext 5221
*Language training ext 5234","Provides programs for new immigrants, first generation Canadians and refugees, Language Instruction For Newcomers To Canada (LINC) Program - full time and evening English classes (Literacy to Level 7) *free for permanent residents, convention refugees *child minding for pre-school children for registered students *Settlement Services - information on settlement related topics and referral *interpretation over the phone and/or in person to facilitate access to programs and services such as social assistance, medical care and legal services *case management services for high needs clients * providing information on career and employment counselling *crisis counselling * crisis intervention, Resource Centre For New Immigrants - computers with internet access *assistance with information search, letter preparation, completing on-line applications *fax (local numbers) and photocopier *information sessions on settlement topics *internal referrals to individual counselling and English language training *referral to community and government programs and services, certification of documents and affidavits, Specialized programs for children, youth and seniors.",None,NA,English * Arabic * Chinese (Mandarin) * Hindi * Pashto * Polish * Punjabi * Spanish * Urdu,Mississauga,"February 5, 2020",no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes
