organization,link,org_link,address,description,fees,eligibility,languages,areas_served,last_updated
Muslim Community Services - Brampton,https://www.centralwesthealthline.ca/displayService.aspx?id=160624,http://www.muslimcommunity.org,"Civic Centre 150 Central Park Dr, Suite 304, (elevator B) Brampton, ON L6T 2T9","Multi-service agency focused on the needs of immigrants, newcomers, refugees and other community members through direct service provision * agency helps to reduce isolation, minimize barriers, strengthen community and thus work towards community integration Language Instruction For Newcomers To Canada (LINC) -Provides basic language training in one of the Canada's official languages to adults immigrants after their arrival in Canada so that they may acquire the necessary language skills to integrate into Canadian society English classes offered including literacy and LINC levels 1-7 at the Brampton and Mississauga locations childcare for eligible participants available at both locations Family Support Program -provides counselling and referrals to individuals and families who seek guidance and direction. Service include: crisis intervention emotional and supportive counselling safety planning transitional support developing short and long term goals educational support groups for women advocacy and assistance with legal issues referral to community resources French Language Training-(Cours de franÃ§ais pour les immigrants au Canada) CLIC Beginner courses held on Saturdays. These courses are intended for newcomer adults looking to learn and/or improve their French, and whose first language is not English. Courses are delivered virtually, and the platforms used are Zoom, Google Classroom and ESL Library. The CLIC program combines group classes, individual online meetings with a teacher as well as independent work on the platforms. Learners get to meet and communicate with their teacher and with each other in a zoom classroom setting. Senior Connection Program -senior drop-in program is to reduce the risk of the social isolation of immigrant seniors who have limited access to culturally sensitive activities.",None,Permanent resident * convention refugee * Govt assisted refugee * Persons whose permanent residence application is being processed * 18 years and over,English * French * Arabic * Bengali * Dari * Dutch * Farsi * Gujarati * Hindi * Macedonian * Persian * Punjabi * Serbian * Spanish * Tamil * Urdu,Peel Region,"September 20, 2022"
North York Community House - Central Program Office,https://www.centralwesthealthline.ca/displayService.aspx?id=132679,http://www.nych.ca/,"700 Lawrence Ave W Suite 350 Toronto, ON M6A 3B4","Multiservice agency Social support programsin several locations information and referral income tax clinic referral to legal services outreach and mobilization to engage residents and strengthen the community Settlement Program outreach program based in elementary and secondary schools from mid-August to end of June and in libraries and social service agencies from July to mid-August refugee support Employment readiness and mentoring-- employment preparation, professional and social mentorship Family and community centre after school programs, parenting groups, youth programs citizenship test preparation Participates inLINC (Language Instruction for Newcomers to Canada)in English, upon assessment by YMCA of Greater Toronto -- see separate entry, child care provided English conversation circles computer club Support for Caregivers 55+ healthy living groups English conversation elder abuse awareness Caregiver Peer Support Group",NA,"Open to all Residency Requirements: Steeles Ave W (north) to St Clair Ave W / Dundas St W (south), Kipling Ave (west) to Yonge St (east)",Arabic * Bengali * Farsi * Hindi * Mandarin * Marathi * Romanian * Russian * Sinhalese * Spanish * Tagalog * Tamil * Urdu * Vietnamese,Toronto (North York),"May 25, 2022"
Ontario Council of Agencies Serving Immigrants - WelcomeOntario - Refugee Assistance Information,https://www.centralwesthealthline.ca/displayService.aspx?id=192791,http://welcomeontario.ca/,NA,"Website bringing together trustworthy information for those helping Syrian refugees settle in Ontario * created and maintained by the Ontario Council of Agencies Serving Immigrants * contains information about the Refugee Settlement Support Project, settlement services as well as additional information in regards to the Syrian conflict",None,Syrian refugees settling in Ontario * those helping Syrian refugees,English * French,Ontario,"January 18, 2022"
Ontario Inter-Cultural Community Services - Brampton,https://www.centralwesthealthline.ca/displayService.aspx?id=177966,http://www.oics.ca,"145 Clarence St W, Unit 27 Brampton, ON L6W 1T2",Ontario Intercultural Community Services (OICS) is a non-profit organization providing multidisciplinary and culturally appropriate services to under-served communities in the Region of Peel through,One time fee: $15,NA,English,Peel Region,"October 28, 2022"
Ontario Learning Development Foundation,https://www.centralwesthealthline.ca/displayService.aspx?id=144029,http://www.oldf.org,"87 Irondale Dr Unit 200, 2nd Flr Toronto M9L 2S6","Community centre with programs for children, youth and newcomers COVID19-- Office closed until further notice ? support available by phone, email or online * visitCOVID-19 Updates Community centre newcomer services children and youth programs training and certification student examination supervision meeting room rentals also locations in Brampton and Mississauga Children's Programs after school programs tutoring summer learning camps March and winter break camps Home Alone safety course Newcomer Supports outreach and settlement services Information and referral learning programs such as General Education Development Program (GED), computer training, English as a Second Language (ESL) classes empowerment programs such as financial literacy, employment coaching, business set-up assistance newcomer repository - The Newcomer (www.thenewcomer.ca) Youth Programs career advise and counselling leadership engagement pre-employment skills training employment support homework/tutoring assistance programs for newcomer youth High Five Principles of Healthy Child Development Home Alone safety course Babysitting course leadership engagement financial literacy Youth Magazine publication - The Youth Mind (Home - Youth Mind (theyouthmind.ca) Seniors/Low-income Earners computer training and pad computing combating food insecurity through food boxes income tax preparation promoting Black excellence and women publications - Black Voice, Home - Youth Mind (womenquest.ca)",Newcomer programs free or cost recovery fees for most children's programs Examination supervision fees vary for different services Registration is required for some programs,"Individuals and families, including children, youth, seniors, new immigrants and refugees Varies by specific program Residency Requirements: Etobicoke, North York, Toronto and all GTHA",English,"Toronto (Etobicoke, North York, Old Toronto) and Toronto Central","March 3, 2022"
PCAS-Peel Career Assessment Services,https://www.centralwesthealthline.ca/displayService.aspx?id=160394,http://www.peelcareer.com,"975 Meyerside Dr Mississauga, ON L5T 1P9","Community organization that partners with the government, business sector, and other agencies to assist individuals to achieve a full potential at school, work and life. Programs available: Employment Services-assist individual to achieve success in the labour market. Newcomer Services-provides help for Newcomers to identify and resolve settlement issues which may pose as barriers to employment. Work Hardening / Conditioning-provides individualized, work-hardening programs designed to progressively improve a participant's strength, endurance, level of productivity and work capacity. . Vocational Evaluations- provides help to individuals to identify vocational alternatives that are consistent with their aptitudes, interests, skills and physical capabilities. Business Hub-Small Business Enterprise Hub, offers the essential services and resources needed to help start-up companies evolve into full-fledged businesses. Youth Employment-is designed to provide the necessary entry level employment experience required to compete in the job market. Seniors Program-offers games, computer classes and arts and crafts Fulfillment Service assist in providing much needed employment training for the disadvantaged and disabled population in the community. It gives the opportunity to offer them real work experience, skills training and rehabilitation.",Fees for some programs,Different for each program,English * Arabic * Chinese (Mandarin) * Gujarati * Hindi * Polish * Punjabi * Spanish,Greater Toronto Area,"July 22, 2022"
PCAS-Peel Career Assessment Services - Newcomer Services,https://www.centralwesthealthline.ca/displayService.aspx?id=191437,http://www.peelcareer.com,"975 Meyerside Dr Mississauga, ON L5T 1P9",Help for Newcomers to identify and resolve settlement issues which may pose as barriers to their integration into Canadian society and entering the workforce.Participants are provided with: information and orientation referral to other community services pre-employment services career assessment with current labour market job search goal planning and preparation assistance with completion of application information on the Canadian system Commissioner of Oath services interpretation and translation services,None,Newcomers,English * Arabic * Chinese (Mandarin) * Gujarati * Hindi * Polish * Punjabi * Spanish,Brampton and Mississauga,"August 3, 2022"
Peel Multicultural Council,https://www.centralwesthealthline.ca/displayService.aspx?id=91140,http://www.peelmc.com,"6630 Turner Valley Road Mississauga, ON","As an umbrella organization, aims to promote a harmonious multicultural society in Peel, by increasing communication and by building bridges of understanding between ethno-cultural groups, institutions, and the community, and to facilitate settlement and integration of newcomers to Canada Immigrant Settlement Services â provides information on services such as immigration, education, employment, financial assistance, health, legal services, housing, transportation, translation/interpretation, etc *assists with filling out forms and applications (SIN, OHIP, Child Tax, PR Renewal, ODSP, Citizenship) *advocates on clients behalf *provides referrals to other service providers Oath Commissioning services such as affidavits, declarations etc. Language Instruction for Newcomers to Canada (LINC) classes * full time and part- time evening classes for Levels 1-6 Job Search Workshop (4 Days) â helps newcomers to Canada find suitable employment *skills covered include: resume writing and cover letters *job search and networking techniques *skills to overcome 'No Canadian Work Experience' barrier *help identifying skills * strategies to tap hidden job market *understanding the Canadian labour market *interview preparations and mock interviews *workers' rights and employment standards Enhanced Language Training (ELT-12 Wks) - job specific language training *work placement *career counseling *job readiness skills (resume, cover letter, cold calling, and informational interview) *2 weeks computer classes Community Connections Mentorship Program provides assistance and support to newcomers to gain tools and resources of finding employment making use of their skills, trainings, education and thus quickly integrating into Canadian society, PMC Community Connections Program undertook many new initiatives to build elements of professional mentorship to connect newcomers to Canada with experienced Canadian professionals. *newcomers can learn about Canadian culture and customs *receive support to better cope with the stresses of settling and adapting in Canada *participate in group networking activities *develop confidence and networking skills. Community Connections Youth Program HYP -helps newcomer youth, ages 12-24, adpat to Canadian culture and become aware of different resources in the community (i.e recreation, entertainment, etc), *praticipate in group activities including: English Conversation Circles, Homework Club, playing video games, movie night, information workshops, art and literature. Other free services offered include: Commissioner of Oaths to attest documents *access to computer, fax, internet *childcare *Mississauga transit tickets All services are free.",Membership - $10/yr/individual * $20/yr/group * No fee for services provided to eligible clients. Fee for PMC Membership - $10/yr/individual * $20/yr/group,All age groups are served,English * French * Arabic * Chinese (Cantonese) * Chinese (Mandarin) * Dari * Gujurati * Hindi * Pashto * Polish * Punjabi * Spanish * Tagalog * Urdu,Peel Region,"November 19, 2019"
Polycultural Immigrant and Community Services - Mississauga,https://www.centralwesthealthline.ca/displayService.aspx?id=61187,http://www.polycultural.org,"Sheridan Mall 2225 Erin Mills Pkwy, Lower floor (Settlement & Resource Centre) / Upper floor (LINC), Box 210 Mississauga, ON L5K 1T9","Provides programs for new immigrants, first generation Canadians and refugees, Language Instruction For Newcomers To Canada (LINC) Program - full time and evening English classes (Literacy to Level 7) *free for permanent residents, convention refugees *child minding for pre-school children for registered students *Settlement Services - information on settlement related topics and referral *interpretation over the phone and/or in person to facilitate access to programs and services such as social assistance, medical care and legal services *case management services for high needs clients * providing information on career and employment counselling *crisis counselling * crisis intervention, Resource Centre For New Immigrants - computers with internet access *assistance with information search, letter preparation, completing on-line applications *fax (local numbers) and photocopier *information sessions on settlement topics *internal referrals to individual counselling and English language training *referral to community and government programs and services, certification of documents and affidavits, Specialized programs for children, youth and seniors.",None,NA,English * Arabic * Chinese (Mandarin) * Hindi * Pashto * Polish * Punjabi * Spanish * Urdu,Mississauga,"February 5, 2020"
Punjabi Community Health Services (PCHS) - Settlement Services for Newcomers to Canada,https://www.centralwesthealthline.ca/displayService.aspx?id=152662,http://www.pchs4u.com,"50 Sunny Meadow Blvd, Unit 207 Brampton, ON L6R 0Y7","Helps newcomers integrate into Canadian society Program offers English language classes training and skills development Canadian laws/norms orientation to the neighbourhood supportive counselling translation/interpretation services government services - social assistance and disability support program health, child care and seniors benefits assistance in filling forms for social insurance number, health card, child tax benefit, family sponsorship, visitor visa, etc. Available to permanent residents, citizens, live-in caregivers and refugees",None,"Permanent residents, citizens, live-in caregivers and refugees",English * Hindi * Punjabi * Urdu,Toronto (Etobicoke) and Peel Region,"January 14, 2022"
Rexdale Women's Centre - Newcomer Assistance and Integration-Language Training and Instruction,https://www.centralwesthealthline.ca/displayService.aspx?id=155759,http://rexdalewomen.org,"925 Albion Rd, Suite 207 Etobicoke, ON M9V 1A6","English Language Instruction: English as a second language labour market information workshops to students on issues about the different systems in Canada Language Training: English language training classes with computers and internet access part-time and full time classes the language training program Language Training Childminding program for parents with children from 6 months to 5 years of age who are registered and attending the Language Instruction program children participate in daily activities such as reading, story-telling, singing etc.",None,"18 years and up * Services available to: newcomers, permanent resident, Convention Refugees, Canadian Citizen, Refugees applicants, and their dependents",English * Arabic * Assyrian * Bengali * Bosnian * Chinese (Mandarin) * Croatian * Dari * Farsi (Persian) * Gujurati * Hindi * Italian (upon request) * Pashto * Punjabi * Serbian * Somali * Spanish * Tamil * Twi * Urdu * West Indian dialect,Greater Toronto Area,"June 24, 2022"
Rexdale Women's Centre - Parenting: Family Supportive Counselling and Parenting Groups,https://www.centralwesthealthline.ca/displayService.aspx?id=60832,http://rexdalewomen.org,"925 Albion Rd, Suite 309 Etobicoke, ON M9V 1A6","Support for Women and Families provide three different programs: Parenting and Family Supportive Counselling: for newcomers, immigrant and refugee parents and grandparents who need support to raise healthy children Nobody's Perfect Parenting Groups: connects, shares and builds skills with peers serve newcomer parents and grandparents who lack the social networks and supports offers parenting groups effective discipline methods, information on Canadian institutions and service Family Drop-In: designed for children 2 to 12 years of age and their parents. The program provides children with the opportunity to develop skills in language, cognitive development, sensory development, creativity and gross motor skills development. Parents are involved in workshops and seminars that develop better parenting skills NOTE:All services are currently online. Contact us for updates or appointments",None,"Services available to: newcomer, immigrant, refugee, Canadian women and their family/ dependants",English * Arabic * Bengali * Bosnian * Chinese (Mandarin) * Croatian * Dari * Farsi (Persian) * Gujurati * Hindi * Punjabi * Serbian * Spanish * Tamil * Twi * Urdu * West Indian dialect,Greater Toronto Area,"June 24, 2022"
Rexdale Women's Centre - Settlement and Integration ervices - Immigrant Settlement and Orientation Services,https://www.centralwesthealthline.ca/displayService.aspx?id=60829,http://www.rexdalewomen.org,"21 Panorama Court, Unit 23 Etobicoke, ON M9V 4E3","Services offered in 18 different languages to newcomers, immigrants and refugees at various locations throughout the City of Toronto. Settlement Services Needs Assessment and Referral Information and Orientation Interpretation and Translation Referral to Community Resources Solution focused Counselling Employment-related services Form Filling (Immigration, Citizenship, PR Card renewal, OW, Child Tax Benefit and more) Crisis Support Integration Services Communities Connections - Welcoming Communities Brings together newcomers to Canada and established community residents for friendship, sharing, and learning. There are two ways someone can join our program: as a newcomer or as a volunteer Matching of Newcomers with Established Immigrants and/or Citizens Community volunteers and newcomers are matched as individuals or as families, to offer in-depth assistance and support to newcomers Newcomer Family Drop-In Program Designed for children from 2 to 12 years of age. Promotes the development of language, cognitive, sensory, creativity and gross motor skills development English Conversation Circle (ECC) An opportunity to practice every day English language skills and build self-confidence. A great venue for newcomers who are interested in increasing their fluency in English Cooking Club Participants share recipes from all over the world and cook healthy meals while at the same time networking with other program participants Movie Night Participants watch family oriented movies which generate lively discussions about their experiences and views towards various aspects of life Volunteering in Communities Connection - Welcoming Communities Program To become a volunteer individuals must be 18 years of age or older and a Canadian citizen or Permanent Resident for more than 5 years, be knowledgeable about the community, be open to learning about and appreciating other cultures and be able to volunteer for about 2 hours a week, for at least 6 months Community Outreach and Awareness Conduct regular outreach in the community, schools, businesses, associations, faith groups in order to raise awareness of the needs of newcomers and services that are provided and/or are available in the community Settlement and Community Connection Services in Language Instruction and Libraries Program Supports offered in Language Instruction for Newcomers to Canada (LINC) in schools, libraries and other locations that facilitate newcomers' access to and navigation of community services NOTE:All services are currently online. Contact us for updates or appointments",None,"Services available to: newcomer, immigrant, refugee, Canadian women and their family dependants",English * French (upon request) * Arabic * Assyrian * Bengali * Bosnian * Chinese (Mandarin) * Croatian * Dari * Farsi (Persian) * Gujurati * Hindi * Italian (upon request) * Punjabi * Serbian * Somali * Spanish * Tamil * Twi * Urdu * West Indian dialect,Greater Toronto Area,"June 24, 2022"
Rexdale Women's Centre - Support for Women and Families,https://www.centralwesthealthline.ca/displayService.aspx?id=60831,http://rexdalewomen.org,"925 Albion Rd, Suite 309 Etobicoke, ON M9V 1A6","Multi-service organization offering various programs Counselling Service: Short Term Supportive Counselling: culturally and linguistically appropriate support to women who encounter difficulties moving ahead, by providing critical information that enables them to have the confidence in making the right decisions and overcome personal obstacles and crisis Assistance for Women Victims of Domestic Violence and Crisis Counselling: provides one-to-one counselling and support to women who are experiencing domestic violence in the home or dealing with a crisis in their lives. Woman's counsellors assist women to withstand the cycle of violence/abuse and help women to develop safety plans and strategies to live a life free of violence for themselves and their children Employment and Career Counselling: assists immigrant, racialized and refugee women determine their career and employment needs * links made with other employment related services in the community, as well as English language classes, training, apprenticeship and volunteer opportunities Employment Support Groups for Women: support groups for women in their own language that helps them identify strengths and address gaps they face when seeking to enter or re-enter the workforce NOTE: All services are presently online. Contact us for updates or appointments",None,"Services available to: newcomer, immigrant, refugee, Canadian women and their family/ dependants",English * French (upon request) * Arabic * Assyrian * Bengali * Bosnian * Chinese (Mandarin) * Croatian * Dari * Farsi (Persian) * Gujurati * Hindi * Italian (upon request) * Punjabi * Serbian * Somali * Spanish * Tamil * Twi * Urdu * West Indian dialect,Greater Toronto Area,"June 24, 2022"
Rexdale Women's Centre - Violence Prevention and Crisis Intervention,https://www.centralwesthealthline.ca/displayService.aspx?id=60830,http://rexdalewomen.org,"925 Albion Rd, Suite 309 Etobicoke, ON M9V 1A6","Multi-service agency offering various programs for women, especially immigrant women, refugee women and women of colour * linguistically and culturally appropriate services Violence Prevention and Crisis Intervention Programhas the following components: Assistance for women victim of domestic violence, violence prevention and crisis counselling * one-on-one assistance to women who are experiencing domestic violence and dealing with a crisis in their lives * counsellors assist women to understand the cycle of abuse and help women to develop safety plans and strategies to live a life free of violence for themselves and their children Medical and legal referrals and client accompaniment * guidance to women to obtain medical and legal services * client accompaniment on visits * ongoing support while navigating the legal and court systems Support groups for women on spousal abuse * allows women to gain information, share experiences, build confidence and develop safety plans when dealing with abuse Partner assault response groups * offered to court-mandated offenders to better understand the consequences and impact of violence against women, work on accepting responsibility for their violent behaviour and to develop strategies to deal with anger * focuses on anger management, effective communication, coping with stress and the impact abuse has on children NOTE:All services are currently online. Contact us for updates or appointments",None,"Services available to: newcomer, immigrant, refugee, Canadian women and their family dependants",English * French (upon request) * Arabic * Assyrian * Bengali * Bosnian * Chinese (Mandarin) * Croatian * Dari * Farsi (Persian) * Gujurati * Hindi * Italian (upon request) * Punjabi * Serbian * Somali * Spanish * Tamil * Twi * Urdu * West Indian dialect,Greater Toronto Area,"February 28, 2022"
Rexdale Women's Centre - Welcoming Communities Program,https://www.centralwesthealthline.ca/displayService.aspx?id=60835,http://rexdalewomen.org,"925 Albion Rd, Suite 309 Etobicoke, ON M9V 1A6","This program offers: The newcomer family drop-in program: for children 2 to 12 years of age. This program is available to newcomer children and their parents who have limited knowledge of English language. English Conversation Circle (ECC): an opportunity to practice every day English language skills and build self-confidence Cooking Club: share recipes from all over the world and cook healthy meals while at the same time networking with other program participants Movie Night: watch family oriented movies which generate lively discussions and is a great opportunity for newcomers to practice their English skills Volunteering for Welcoming Communities:To become a volunteer for the program individuals must be 18 years of age or older and a Canadian Citizen or Permanent Resident for more than 5 years, be knowledgeable about the community, be open to learn and appreciate other cultures and be able to volunteer for 2 hours a week for at least 6 months. Open to: Women; Youth; Seniors NOTE:All services are currently online. Contact us for updates or appointments",None,"Services available to: newcomer, immigrant, refugee, Canadian women and their family/dependants",English * French (upon request) * Arabic * Assyrian * Bengali * Bosnian * Chinese (Mandarin) * Croatian * Dari * Farsi (Persian) * Gujurati * Hindi * Italian (upon request) * Punjabi * Serbian * Somali * Spanish * Tamil * Twi * Urdu * West Indian dialect,Toronto (Etobicoke),"June 24, 2022"
Salvation Army - Etobicoke - Community and Family Services - Etobicoke Temple,https://www.centralwesthealthline.ca/displayService.aspx?id=177165,NA,"2152 Kipling Ave Etobicoke, ON M9W 4K9","Emergency assistance including food, clothing and household Programs available: counselling and referrals support program for newcomers Christmas assistance program residential summer camp for children",None,NA,English,Toronto (Etobicoke) and Vaughan,"April 22, 2022"
"Salvation Army, Immigrant and Refugee Services - Main Office",https://www.centralwesthealthline.ca/displayService.aspx?id=133404,http://torontoharbourlight.ca/immigration-and-settlement-services/,"Toronto Harbour Light Ministries; 160 Jarvis St Unit 132 Toronto, ON M5B 2E1","Organization providing immigration and settlement services COVID19-- all appointments by phone or video chat, no in-person services; call for appointment Citizenship, Immigration and Refugee Services assistance with applications for citizenship, passports and protected person travel documents help with spouse, common-law partner and child sponsorship applications refugee system navigation and related procedures such as work/study permits, permanent resident applications as protected person/Convention refugee assistance with applications to become permanent resident based on Humanitarian and Compassionate (H&C) grounds help with permanent resident card and other Canadian identification forms assistance with study permit renewal and work permit applications for international students; information about pathway to become permanent residents help for migrant workers such as work permit assistance for vulnerable people Online English classes and conversation circles Community Resources assessment, information and referral to food programs, clothing and furniture banks, employment centres, schools and education resources, health centres assistance with applications for government programs such as Ontario Works, Employment Insurance, Legal Aid, transitional and subsidized housing Spiritual Care provided through chaplain - referral and resources for religious communities, one-on-one spiritual counselling, and for ceremonies such as weddings, funerals and blessings",None,"Low-income individuals and families with any immigration status Naturalized Canadian Citizens Permanent Residents Refugee Claimants Rejected Refugee Claimants Convention refugees Temporary residents (work permit holders, international students) Non-status, (people without immigration status)",English * Portuguese * Spanish,Toronto,"July 25, 2022"
SEAS Centre - Regent Park Centre,https://www.centralwesthealthline.ca/displayService.aspx?id=133630,http://www.seascentre.org,"50 Regent Park Blvd Unit 101 Toronto, ON M5A 0L5","Support Enhance Access Service Centre Family, children, youth and seniors services including settlement services COVID19-- drop-in and group services have resumed -- appointment preferred -- all visitors must follow sanitary and distancing rules; people who have COVID symptoms will not be admitted Community Development-- volunteer recruitment, training and placement, community networking and partnership New Immigrant Drop-In mutual support group for newcomers, supportive counselling information and referral assistance in filling out forms for social assistance, income security programs, and affordable housing accompaniment to appointments, translation and interpretation, free Internet access Filipino Program assistance and referrals to Filipino youth, families and seniors to help meet their housing, employment and health care needs fosters partnerships with grassroots organizations to connect with broader advocacy to promote labour rights and social justice Family Services Violence Against Women counselling Violence Against Women Transitional Housing family life education Women's Drop-in-- informal meeting place for Vietnamese and Chinese women support groups, recreation, workshops Seniors' Drop-In-- informal meeting place for Southeast Asian seniors (Cambodian, Chinese, Lao, Vietnamese) recreation, weekly social events Children Programs-- summer, March break and teacher professional activity day programs Youth Drop-In-- life skills training, volunteering",None,"Immigrants, refugees and their families",English * Cantonese * Filipino * Mandarin * Vietnamese,Toronto,"September 13, 2022"
Service Canada - Caledon Scheduled Outreach Site,https://www.centralwesthealthline.ca/displayService.aspx?id=142708,http://www.servicecanada.gc.ca,"Caledon Community Services 18 King St E, Upper Fl Bolton, ON L7E 1E8","Human Resource Centre, provides services to: employers, unemployed and underemployed people provide access to job banks and labour market information applications for social insurance numbers and income security programs such as Employment Insurance and Disability Benefits foreign credentials referral for newcomers to Canada services for seniors such as: Canada Pension Plan, Allowance for the survivor program, Old Age Security, Guaranteed Income Supplement Check web site for specific details","Service * Payment Type Accepted:Cheque (Cash, Debit Cards, Credit Cards are not accepted at this office)",NA,English,Caledon,"February 16, 2022"
Somali Canadian Association of Etobicoke,https://www.centralwesthealthline.ca/displayService.aspx?id=60669,http://www.somalicanadian.com,"Thistletown Multi-Services Center 925 Albion Rd NW, Unit 202 Etobicoke, ON M9V 1A6",Community agency providing: settlement and orientation services information and referral translation of documents and escort services for newcomers supportive counselling youth leadership training and counselling workshops drop-in program for Somalian seniors,None,NA,English * Arabic * Italian * Somali,Toronto (Etobicoke),"August 15, 2022"
Sood Sabha of North America,https://www.centralwesthealthline.ca/displayService.aspx?id=110679,NA,"5223 Astwell Ave N Mississauga, ON L5R 3H8","A not-for-profit organization bringing families together. (Bhawan) for organizing family ceremonies and get-together * provides boarding and lodging to new immigrants to stay free of charge for two weeks * basic membership is for Sood families, but honorary membership available to all * donations accepted (funds raised through charity)",Membership - $50/yr; can be waived for volunteers; Life membership: $1000,None,English * Hindi * Punjabi,Greater Toronto Area,"April 22, 2019"
South Asian Welcome Centre,https://www.centralwesthealthline.ca/displayService.aspx?id=160395,NA,"25 Turtlecreek Blvd Brampton, ON L6W 3X8","An educational and social service centre providing services to the South Asian community Programs: anger management and abusive behaviour classes marital, family and individual counselling sessions alpha program, a Christian-based interactive workshop visitation and friendship development program referral services Working with other social services partners deliver culturally-sensitive programs: educational program for families, especially parents settlement program","Program * Counselling is assessed on a case by case basis (ability to pay). A basic fee of $60 per session is the suggested rate, client is informed of their expected contribution before sessions begin, no one is turned away for an inability to pay",Primarily South Asians; but also serves other cultural backgrounds,English * Hindi * Punjabi * Tamil * Urdu,Greater Toronto Area,"April 1, 2022"
Toronto District School Board - Malvern Site - Newcomer Services,https://www.centralwesthealthline.ca/displayService.aspx?id=143113,http://www.tdsb.on.ca/New-to-Canada/Adults/Settlement-Services/Newcomer-Services,"Malvern Town Centre, 31 Tapscott Rd Unit T-81 Toronto, ON M1B 4Y7","District school board Settlement servicesfor newcomers to assist them to integrate and to provide guidance with day to day needs including education, healthcare, housing, immigration and employment May provide: needs assessments and referrals post-arrival settlement information assistance to establish social and professional networks to promote community engagement assistance in filling out government forms citizenship test preparation assistance to access a range of settlement services individual tax filing assistance (seasonal) afterschool supports",None,"Newcomers 13 years and older, Permanent residents, Landed immigrants, Convention refugees, and Government Assisted refugees",English * French,Toronto,"September 9, 2022"
"Toronto District School Board - Next-Steps Employment Centre, Vaughan Site",https://www.centralwesthealthline.ca/displayService.aspx?id=143112,http://www.tdsb.on.ca/Adult-Learners/Employment-Services/Next-Steps-Employment-Centres,"4585 Highway 7 Unit 7-9 Vaughan, ON L4L 9T8","District school board COVID19-- all services and programs offered remotely via email, webinars and telephone support, visit website or email for information -------------------------------- Comprehensive employment and job search services assessment of skills, interests and experience job search strategies, including resume preparation information about careers and occupations, local labour market, employment and training opportunities on-the-job training, work experience help in maintaining employment information and referral to other employment and community services Better Jobs Ontario-- skills training and financial support for laid-off workers training program must demonstrate good job prospects financial support based on need, may include tuition, instructional costs, books, transportation and/or a basic living allowance Services for employers-- help in identifying human resource skills requirements matching of workplace needs to workers' skills, capabilities, interests and experience support for developing on-the-job training plans and monitoring of placements to support retention Canada-Ontario Job Grant-- financial support for individual employers to purchase training for their employees available to small, medium and large businesses planning to deliver short-term training for existing or new employees Operated by the Toronto District School Board; Funded by Employment Ontario",None,strongSelf-service information and resources/strong -- anyone 15 years and older including people with jobs those who are under-employed people looking for work students apprentices internationally trained individuals employersbr /br /strongAssisted services/strong (such as supported job search job matching and placement job retention services) -- people who are unemployed and out of schoolbrbrbr /br /strongBetter Jobs Ontario/strong -- laid off individuals who are currently unemployedbr /ulliindividuals from low-income households experiencing labour market challenges/li/ulbr /br /Employers can get help in identifying their human resource skill requirements matching of position/workplace needs to participants'' skills capabilities interests and experience and support for developing on-the-job training plans and monitoring of placements to support success and retention,English * Arabic * Farsi * Hindi * Punjabi * Somali,York Census Division,"September 27, 2021"
Ukrainian Canadian Social Services (Toronto),https://www.centralwesthealthline.ca/displayService.aspx?id=132851,http://www.tor.ucss.info/,"2445 Bloor St W Toronto, ON M6S 1P7",Providing a range of social services and support programs for the Ukrainian ethno-cultural community Social services information and referral translation and interpretation by appointment supportive counselling social programs assistance in finding accommodation orientation completion of forms seasonal income tax clinic friendly visiting for seniors in long term care facilities and homes for the aged (based on volunteer availability) community awareness Social / recreational seniors recreation program language classes computer advice,"Most services free, fee for translation","Focus on individuals and families of Ukrainian background who experience language and cultural barriers, including seniors, vulnerable persons or newcomers",English * Ukrainian,Toronto and area,"September 8, 2022"
"Vietnamese Association, Toronto - North York Office - Vietnamese Association, Toronto, North York Office",https://www.centralwesthealthline.ca/displayService.aspx?id=132862,http://www.vatoronto.ca,"3585 Keele St, Unit 13 Toronto M3J 3H5","Settlement, employment and other services COVID19-- offices are open, but appointments are recommended Settlement and Adaptation Services information and referral, orientation, housing referrals one to one gambling counselling and workshops translation and interpretation documentation, form filling outreach, social development program, educational workshops career mentoring Employment Services employment counselling resume preparation, job search techniques access to telephone, fax, photocopier assistance obtaining certification of education and/or trade documents Other services-- citizenship, commissioner of oaths, community advocacy, cultural events, Internet access, volunteer opportunities",None,Immigrants and refugees,English * Filipino * Vietnamese,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","November 1, 2022"
Welcome Centre Immigrant Services - Central East - Mobile Outreach Service,https://www.centralwesthealthline.ca/displayService.aspx?id=207821,http://www.welcomecentre.ca,"16655 Yonge St, Unit 26 Newmarket, ON L3X 1V6","Settlement services for newcomer clients living in northern York Region and Simcoe County. Services available: information and resources services to assist in integration (economically and socially) volunteer led English Conversation Circles, where participants practice English skills and meet other newcomers in local community settlement services employment services accreditation and qualification information assistance English language skills other supports to connect newcomers with local services Serves clients by individual appointments at various locations and can deliver to other areas in Simcoe County and York Region throughout the week based on request. English language assessment done in partnership with CLARS Language Assessment Centre.",Free,Newcomers * International students * Naturalized citizens * Permanent residents *,English * Farsi * Interpretive Services,Simcoe and York Census Division,"February 16, 2022"
