Name,Healthline Link,Website,Address,Email,Phone,Description,Fees,Eligibility,Languages,Areas Served,Last Updated
Alpha-Toronto,https://www.centralwesthealthline.ca/displayService.aspx?id=132667,http://alpha-toronto.ca/,"90 Richmond St E Suite 302 Toronto, ON M5C 1P1",alphatoronto@bellnet.ca,NA,"Oragnisation that provides education and training programs in French All services offered online using teleconference Group programs in community locations form filling for people who cannot read or write BibliothÃ¨que Marie Luce-LeBlanc basic skills employment network outreach, information and referral FBO-ACE college preparation program (in collaboration with CollÃ¨ge BorÃ©al) collaboration with francophone community colleges, school boards and employment programs literacy programs -- see branch record",None,"Francophone adults without a high school diploma, including those receiving social assistance through Ontario Works",French,Toronto,"December 13, 2021"
Association des francophones de la rÃ©gion de York - Newcomers welcome and settlement centre,https://www.centralwesthealthline.ca/displayService.aspx?id=200580,http://afry.ca/centre-accueil-et-etablissement/,"1145 Nicholson Rd 2nd Flr Newmarket, ON L3Y 9C3",coordination.cae@afry.ca,289-552-4297 ext 8,Encourages development of the francophone community Newcomer and settlement program Assessment and referral to government and community resources Information and orientation Community connections Settlement Workers in Schools (SWIS)-- assist newcomer families to integrate into their school and community,NA,"Permanent residents, refugees and live in caregivers",English * French,York Census Division,"January 11, 2022"
Brampton Multicultural Community Centre - Mississauga,https://www.centralwesthealthline.ca/displayService.aspx?id=111561,http://www.bmccentre.com/,"4120 Ridgeway Drive, Unit 43 Mississauga, ON L5L 5S9",services@bmccentre.org,Mississauga West 905-828-1328,"Neighbourhood multi-service agency * provides services to the most vulnerable individuals and families through drop-in or phone service Services include (but are not limited to) - settlement & integration programs * information & orientation sessions * referral to appropriate services * educational workshops * skills development * employment related services * assisting people with Ontario Works * counselling and support counselling * translation and interpretation * support for seniors Services are provided at Three locations 150 Central Park Dr, Ste 107, Brampton 3190 Ridgeway Dr, Unit 35, Mississauga 197 County Court Boulevard, Unit 303 Brampton Immigrant Settlement & Adaptation Program * (ISAP) For new immigrants within their first year of arrival * assists these immigrants to settle effectively in Canada * offers orientation and information sessions * interpretation & translations * employment related support * initial needs assessment * referrals to appropriate services * solution-focused counseling * service bridging * offered in both official languages * focus is on immigrants speaking African * Yoruba * Arabic * Tamil * Persian * Spanish * Hindi * Gujarati * Urdu * Punjabi * and other languages from South Asian Countries Newcomers Settlement Program * (NSP) Supports the early and effective settlement of newcomers to Ontario * priority is to support newcomers who have been in Canada for less than five years includes permanent residents * Canadian citizens * refugees * refugee claimants * non-immigrants foreign domestic workers in Canada who may subsequently apply for permanent resident status under Live-in Care Giver Program * offers information & orientation * interpretation and translation * supportive counselling * referral and access to services * employment related support * program focuses on but is not limited to Urdu * Arabic * Punjabi Community Social Support Program * (CSSS) Immigrants' Support Beyond 5-Years Serves men * women * youth * and families from diverse population in Brampton and surrounding areas * primarily a drop in program for clients to receive support in their settlement process * offers supportive counseling * information and referrals for immigrants (who are in Canada 5yrs and beyond) and for the non-conventional refugees or people with no status * group does not qualify under any other program or services * information sessions and workshops for * adult * seniors * and youth * parenting * health * life skills development Access Centre Of Training And Technology * (ACT) Serves individuals looking to improve or develop their computer skills * affordable instructor led training program * available to all volunteers and individuals who cannot afford to pay even the nominal cost * MS Office * Excel * Word * Power Point * Internet * Outlook * Basic Accounting * ACCPAC * basic key boarding * program is not only financially self-reliant but supports the administrative needs of BMC and complements the other programs and services Volunteer Management * (VMP) Serves individuals * newcomers and the community at large to develop or enhance their skills through volunteer work; allowing them to gain 'Canadian Experience' and increase their community participation also benefits individuals in developing their leadership skills and becoming role models for the community Multicultural Settlement And Education Partnership * (MSEP) Partnership with the Peel District School Board * Dufferin Peel Catholic District School Board * Citizenship and Immigration Canada * settlement service program * helps newcomer families adapt and integrate into the Canadian education system * culture * and society provided to the families from the base of their schools (only offered in Brampton) Job Search Workshop * (JSW) Helps immigrants and newcomers in their job search efforts * resume writing techniques * job search techniques * interviewing skills * students use skills through hands-on work * role-playing * interactive discussions * job coaching * mentoring * career assessment, * supportive counselling * connection to employers, * and three months follow up Employment Support * Resume writing * role play * interview skills * job fairs * labour market information * job placements * job board Government Forms available * Citizenship * Permanent Resident (PR) * Social Insurance Number (SIN) * Canada Pension Plan (CPP) * Old Age Supplement (OAS) * sponsorship * Canadian passport * Affordable Housing * Ontario Health Insurance (OHIP) card Organizations operating within Centre include * Muslim Community Services (MCS * offering LINC classes * Violence Against Women program (VAW)) * and support to children who witness abuse Library Settlement Partnerships (LSP) * Settlement Services for newcomers in partnership with Brampton Library * Information & Referral * Group Sessions * services provided from two library branches: * Chincagousy * South Fletcher during library hours",Program - Access Centre for Training & Technology: nominal fee,NA,English * French * Arabic * Bengali * Bosnian * Dari * Farsi (Persian) * Gujurati * Hindi * Interpretive Services * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu,Mississauga,"March 10, 2020"
Canada. Immigration and citizenship,https://www.centralwesthealthline.ca/displayService.aspx?id=167639,http://www.cic.gc.ca,NA,NA,NA,"Canadian federal department * facilitates the arrival of immigrants, provides protection to refugees, and offers programming to help newcomers settle in Canada citizenship services passport program issues work and study permits to work or study in Canada services for immigrants, including issuing permanent resident cards refugee resettlement programs and handles refugee claims",Varies by service,People seeking to immigrate to Canada * refugee claimants * people working towards Canadian citizenship * people seeking study and work permits in Canada,English * French,Canada,"May 10, 2022"
Canada. Immigration and citizenship - Interim Federal Health Program,https://www.centralwesthealthline.ca/displayService.aspx?id=169988,http://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/help-within-canada/health-care/interim-federal-health-program/coverage-summary.html,NA,NA,NA,"Health coverage provided on a limited and temporary basis to protected persons (including resettled refugees), refugee claimants and other groups Includes: basic coverage supplemental coverage prescription drug coverage assistive devices and medical supplies and equipment coverage for the Immigration Medical Exam",Free,Eligibility criteria is available online,English * French,Canada,"October 7, 2022"
Canada. Immigration and citizenship - Permanent Resident Card,https://www.centralwesthealthline.ca/displayService.aspx?id=172715,http://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/pr-card.html,"c/o Case Processing Centre - PR Card PO Box 10020 Sydney, NS B1P 7C1",NA,NA,"Card which is proof of permanent residency status in Canada for immigrants who are not Canadian citizens * used for re-entry into Canada * permanent residents outside Canada who do not have one can get a permanent resident travel document to return to Canada New permanent residents receive a card following the approval of their permanent residency application * permanent residents need to apply for the card if the permanent resident card is lost, destroyed, expired or will expire or there has been a name change",Set fee,Permanent residents,English * French,Canada,"May 24, 2022"
CARE Centre for Internationally Educated Nurses - CARE Centre Toronto,https://www.centralwesthealthline.ca/displayService.aspx?id=152304,http://www.care4nurses.org,"128A Sterling Rd Suite 202 Toronto, ON M6R 2B7",info@care4nurses.org,416-226-2800,"Services and supports for internationally trained nurses COVID19-- some services offered by phone, email or online, no walk-in service ------------------------ Services and supports for internationally trained nurses assistance in preparing for registration exam orientation to nursing and the health care workplace in Ontario job shadowing placement opportunities individual counselling, group support branch offices in Hamilton, Brampton, Mississauga and London -- call or visit website for information",Fees for some services,NA,English,Ontario,"November 16, 2021"
Christie Refugee Welcome Centre,https://www.centralwesthealthline.ca/displayService.aspx?id=133406,http://www.christiestreetrc.com,"43 Christie St Toronto, ON M6G 3B1",general@christiestreetrc.com,416-588-9277,"Emergency shelter for refugee claimants Emergency shelter, capacity 76 initial orientation and settlement case management basic needs support assistance with refugee claim process, housing referrals, education, health services * follow up support Outreach program -- ongoing support for former residents advocacy, referrals, orientation, and case management system navigation support forms filling assistance",NA,Refugee claimants -- families only,English * French * Spanish * Swahili,Toronto,"October 25, 2021"
Cross-Cultural Community Services Association - Peel Centre,https://www.centralwesthealthline.ca/displayService.aspx?id=91136,http://www.tccsa.on.ca,"720 Burnhamthorpe Rd W, Unit 2 Mississauga, ON L5C 3G1",NA,905-615-9500,"Assists newcomers to adapt to the Canadian style of living and become the mainstream of the Canadian mosaic Settlement Services Department - assists new immigrants to know more about the social system of Canada and help them to adapt to the Canadian style of living through our counselling services * services include one to one counselling * information workshops * orientation days for newcomers * settlement fact sheets * computer access * employment orientation * employment preparation program Counselling services - includes counselling on education * immigration * housing * children's benefit * registration (birth, marriage, etc) * taxation * employment * health care system * citizenship * senior's benefits * social assistance, etc Education And Language Training Department - helps newcomers become competent in everyday English * enhances Computer English learning * provides knowledge and techniques required for the process of applying for Canadian citizenship and taking the test * ensures the continuity of heritage language for the Chinese youngsters and provides sufficient reading materials in their own native language * services offered include LINC Classes (Level 1 - 5) * free child minding services * English as a Second Language Classes (ESL) - low, intermediate and high level * citizenship preparation classes - beginner, basic and intermediate level Community And Youth Department - assists newcomers of Chinese origin to adapt to the Canadian style of living * helps participants to strengthen their communication skills and improve their quality of living * services offered include volunteer training * Youth Ambassador Program * women support group * senior support group * interest groups * Children's Day Camp (Spring and Summer) * ELITE - Evergreen Leader-In-Training for Exercise * parent support program * Damayan Filipino Drop-In and Information Centre (sponsored by TCCSA)",NA,Citizens * immigrants * convention refugees,English * Arabic * Chinese (Cantonese) * Chinese (Mandarin) * Japanese,Peel Region and Greater Toronto Area,"May 23, 2019"
For Youth Initiative - Keele Street Office - Youth Settlement Services,https://www.centralwesthealthline.ca/displayService.aspx?id=132991,http://www.foryouth.ca,"1652 Keele St Suite 108 Toronto, ON M6M 3W3",info@foryouth.ca,416-653-3311,"Youth-led programs promoting access to social service, education, recreation, economic and cultural opportunities for Black, racialized and newcomer youth COVID19All program spaces closed (no walk-in service), remote support available by phone, email or text drop-in and after-school programs suspended while schools closed visit FYI website for staff contact information and updates ---------- Settlement, case management and wraparound services Settlement Program Orientation, needs and eligibility assessments, and pre- and post-arrival information and referral on education, settlement, employment, social assistance, housing, recreation assistance in accessing services language and skills training job search and employment counselling assistance in establishing social and professional networks problem solving, conflict resolution, cross cultural communication workshops, seminars Community Connections Mentorship Program Group orientation activities for newly arrived immigrants and refugees with trained volunteer mentors help in establishing social and professional networks development of citizenship and civic engagement skills and career development Job Search Workshops (JSW) For new immigrants and Convention refugees, legally entitled to work in Canada job search techniques workshops labour market information access to trades and professions resume preparation, networking extensive individual assistance",NA,"Newcomer youth 13-24 years, including permanent residents, landed immigrants, Convention refugees and government assisted refugees Residency Requirements: City of Toronto",English * Arabic * Filipino * Spanish,Toronto,"November 14, 2019"
Immigration and Refugee Board of Canada,https://www.centralwesthealthline.ca/displayService.aspx?id=144367,http://www.irb-cisr.gc.ca,"Minto Place, Canada Building 344 Slater St, 12th Fl Ottawa, ON K1A 0K1",NA,NA,Resolves and makes decisions on immigration and refugee cases in accordance with the immigration and refugee laws * adjudicates refugee claims and appeals Application,NA,NA,English * French,Canada,"April 13, 2020"
Learning Enrichment Foundation - Industry Avenue Site,https://www.centralwesthealthline.ca/displayService.aspx?id=132598,http://www.lefca.org,"116 Industry St Toronto, ON M6M 4L8",info@lefca.org,NA,"Provides integrated and holistic community programs in settlement, employment and skills training Registered Charity COVID-19 update-- open to in-person service; LEF staff remain online and able to support community members remotely Community economic development through employment and training services, newcomer/settlement services, programs for youth and seniors Occupation Specific Language Training provides workplace communication courses for Early Childhood Education, Industrial Skills training, Forklift Operator re-certification, Hospitality Career Pathways, bicycle assembly and maintenance Settlement Program needs assessment and pre- and post-arrival information and referral to community and social services support with finding housing, child care, registering children in school and health care help filling out government forms, including housing and immigration sponsorship forms community support through volunteer befriending, and conversation circles to practise English help with connecting to language classes workshops to reduce stress of adjusting to Canadian culture English as a Second Language and English for Life and Work in Canada conversation and pronunciation classes job search preparation and online or in-class training to develop job search strategies and workplace communication skills employment counselling -- resume help, job readiness clinic, employment counselling, skills and career development and help in establishing social and professional networks Youth Programs immigration and settlement peer counselling services, leadership skills training and employment assistance to newcomer youth Also 20 licensed child care centres -- see separate listings",NA,"Eligibility requirements for some programs, call for details",English * French * Akan * Albanian * Amharic * Arabic * Azerbaijani * Bengali * Bulgarian * Cantonese * Croatian * Dari * Ewe * Farsi * Filipino * German * Greek * Gujarati * Hausa * Hindi * Hungarian * Italian * Japanese * Korean * Krio * Macedonian * Mandarin * Pashto * Polish * Portuguese * Punjabi * Romanian * Russian * Serbian * Somali * Spanish * Swahili * Tamil * Tigre * Tigrinya * Turkish * Twi * Ukrainian * Urdu * Vietnamese * Yiddish * Yoruba,Toronto,"August 25, 2022"
Legal Aid Ontario - Refugee Law Office,https://www.centralwesthealthline.ca/displayService.aspx?id=133533,http://www.legalaid.on.ca,"Atrium on Bay, 20 Dundas St W Suite 202 Toronto, ON M5G 2H1",refugee@lao.on.ca,416-977-8111,"COVID-19-- provincial and legal aid offices closed to the public continue to provide help over the phone check service updates on href=https://www.legalaid.on.ca/news/covid-19-update-on-our-client-services target=_blank>www.legalaid.on.ca/news/covid-19-update-on-our-client-services ---------------------------------------- Free legal information, advice and other services COVID-19-- operating by phone only, Toronto 416-977-8111, Toll-free 1-855-854-8111 ---------------------------------------- Represents refugee claimants at hearings before the Immigration and Refugee Board, and on applications to the Federal Court claimants must obtain Legal Aid certificate lawyer and paralegal assigned to each case Also represents immigration detainees at Toronto West Detention Centre, Immigration and Refugee Board of Canada Immigration Holding Centre, Vanier Centre for Women (Milton), Maplehurst Correctional Complex (Milton) and Central East Correctional Centre (Lindsay) at detention reviews on a duty counsel basis, detainees must be financially eligible for legal aid but need not obtain a certificate",NA,Refugee claimants who can obtain Legal Aid certificates * immigration detainees eligible for Legal Aid certificates Residency Requirements: Toronto and surrounding area,English * French * Albanian * Amharic * Dari * Farsi * Italian * Russian * Somali * Spanish * Tigrinya,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","January 9, 2020"
"Matthew House Refugee Reception Services, Toronto",https://www.centralwesthealthline.ca/displayService.aspx?id=132439,http://www.matthewhouse.ca,"981 Dundas St W Toronto, ON M6J 1W4",admin@matthewhouse.ca,NA,"Temporary shelter COVID19Services continue with modifications; no walk-in service Temporary shelter settlement assistance, including help with refugee claim process Refugee Hearing Program to simulate Immigration and Refugee Board (IRB) hearings orientation classes, transition program includes links to community occasional drop-in for former residents summer camp",NA,"Refugee claimants in Canada less than 28 days; transition program for vulnerable refugee claimants, including adults, youth and children",English,Toronto,"January 28, 2021"
Newcomer Centre of Peel,https://www.centralwesthealthline.ca/displayService.aspx?id=110010,http://www.ncpeel.ca,"165 Dundas St W, Suite 116 Mississauga, ON L5B 2N6",info@ncpeel.ca,905-306-0577,"For more information, please contact the information line, 905-306-0577 or info@ncpeel.ca Provides the following services: LINC (Language Instruction for Newcomers to Canada) - offers classes to newcomers, improving and enhancing their knowledge of English and helping them integrate into Canadian society * offers classes Literacy Level 7 Settlement And Orientation Services - provides support to newcomers in job search, education, housing, document translation and other settlement needs * offers these services in many languages Community Connetions - serves as a drop in centre for newcomer youth * helps with homework, job search, university applications, etc * helps youth build self confidence so that they may integrate into Canadian society with ease* Helps newcomer youth overcome obstacles that stand in the way of integration * pairs newcomer youth with Canadian youth in a fun and interactive environment * offers recreational activities and outings Employment Related Services - provides support for internationally trained professionals in obtaining a career in their chosen field * offers instruction in Microsoft Word, Excel, PowerPoint, Simply Accounting and QuickBooks * provides help in understanding the Canadian workplace Childcare - provides free care for children of clients (qualified ECEs) SWIS (Settlement Workers In Schools) - helps newcomer parents and students successfully integrate into Canadian Society*offers help with housing, health care, schools and education and hosts workshops for parents and youth*offers services many languages) GBC (Global Business Centre)) -provides information on Canadian business culture and communication through classroom activities and one on one consultations * offers information on feasibility analysis for small business start-ups, writing effective business reports, contracting professionals, planning business growth and helping clients identify various financing sources",None,NA,English * French * Arabic * Chinese (Cantonese) * Chinese (Mandarin) * Dari * Farsi (Persian) * Gujurati * Hebrew * Hindi * Korean * Macedonian * Malayalam * Polish * Portuguese * Punjabi * Russian * Spanish * Tagalog * Tamil * Ukrainian * Urdu * Vietnamese,Peel Region,"October 17, 2019"
Oasis Dufferin Community Centre,https://www.centralwesthealthline.ca/displayService.aspx?id=133429,http://oasisdufferin.org,"1219 Dufferin St Toronto, ON M6H 4C2",oasisdufferin@rogers.com,416-536-4431,"Community centre COVID19-- food bank open, outdoors Wed 9:30 am-12:30 pm, appointments on Tue - call to inquire take away meal served outdoors Tue 5:30 pm-6 pm indoor programs not accessible ---------------------------------------------- Community centre serving diverse groups including Spanish-speaking community counselling, orientation, life skills for immigrants and newcomers information and referral counselling for Spanish-speaking women spiritual counselling programs for Spanish-speaking seniors Food Bank-- emergency food - member of Daily Bread Food Bank and supported by Second Harvest",NA,"Open to all Residency Requirements: Food Bank -- Rogers Rd and Vaughan Rd (north) to Dundas St W (south), Keele St (west) to Bathurst St (east)",English * Spanish,Toronto,"May 27, 2022"
Ontario Council of Agencies Serving Immigrants,https://www.centralwesthealthline.ca/displayService.aspx?id=146240,http://www.ocasi.org,"110 Eglinton Ave W, Suite 200 Toronto, ON M4R 1A3",generalmail@ocasi.org,416-322-4950,Represents more than 200 Ontario community organizations serving immigrants * collective action for shared needs and concerns Main services include: research and programs specifically affecting immigrants policy advocacy and lobbying newsletters on OCASI programs Learn at Work - variety of free online courses,NA,"Vary depending on type of membership, specific criteria detailed online",English,Ontario,"March 14, 2022"
Ontario Council of Agencies Serving Immigrants - NewYouth.ca,https://www.centralwesthealthline.ca/displayService.aspx?id=166485,http://www.newyouth.ca,NA,NA,NA,"Online community for youths who are newcomers to Canada * information on school, employment, permanent residency and refugee claims, legal rights, health services, and daily life in Canada Fees",Free,Youth who are newcomers to Canada,English * French,Ontario,"March 1, 2021"
Ontario Immigration,https://www.centralwesthealthline.ca/displayService.aspx?id=14007,http://www.ontarioimmigration.ca,NA,NA,NA,"Provincial government website providing information about places to live, work and study in Ontario for newcomers * offers details on how to start a new business or practice in a trade or profession * provides links to immigration forms and how to get work permits, Ontario Health Card and Ontario driver's license",NA,Newcomers and immigrants to Ontario,English * French,Ontario,"May 13, 2022"
Ontario. Ministry of Citizenship and Immigration,https://www.centralwesthealthline.ca/displayService.aspx?id=172035,http://www.ontario.ca/page/ministry-citizenship-and-immigration,"400 University Ave, 6th Fl Toronto, ON M7A 2R9",NA,416-327-2422,"Provincial ministry which provides services to newcomers and immigrants to Ontario * engages to encourage social inclusion and recognition for all Ontarians * provides information to newcomers about settlement programs such as finding housing, healthcare and social services, employment, English/French language programs, foreign credential assessments and interpretation/translation services",NA,Newcomers and immigrants,English * French,Ontario,"July 20, 2020"
Ontario. Ministry of Health - Health Connect Ontario - Refugee HealthLine,https://www.centralwesthealthline.ca/displayService.aspx?id=212909,NA,NA,NA,NA,"Refugees can connect with health care providers who deliver transitional health care and services, including primary care, specialist care, and mental health supports * transitional care includes initial assessments, care, and referrals to other health services",Free,"Refugees - newly arriving refugees and people arriving through other exceptional humanitarian authorizations * Resettlement Assistance Programs, sponsors, and settlement agencies",English * French * Many other languages,Ontario,"May 11, 2022"
"Polycultural Immigrant and Community Services - Etobicoke Central - Polycultural Immigrant and Community Services, Etobicoke Central",https://www.centralwesthealthline.ca/displayService.aspx?id=133317,http://www.polycultural.org,"3363 Bloor St W Toronto, ON M8X 1G2",info@polycultural.org,416-233-0055,"Multiservice agency Registered Charity COVID19-- all offices are open for appointments; services are offered remotely over the phone, zoom, email ------------- -------------- ------------- Settlement Services orientation, information, assessment and referral supportive counselling for youth, families and women employment and educational counselling commissioner for taking affidavits sessions on housing, education, health care, social assistance, legal assistance, immigration, citizenship, professional licensing and job search Crisis Counselling confidential short-term counselling for youth, adults or families experiencing a crisis situation related to adjusting to life in Canada, mental health, intimate partner violence, substance misuse, trauma, interpersonal problems, parenting or other situation Community Connections Program group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Participates inLINC(Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto -- see separate entry full time classes childminding for children 19 months-5 years while parents attend classes Multicultural Women's Wellness Program women experiencing mental health struggles and stresses can meet, socialize, share experiences, network, learn and stay active; offered in partnership with Canadian Mental Health Association My Pathways to Employment five-week online course for Ontario Works recipients struggling to find jobs or facing multiple complex barriers to employment. after assessment, participants join a 80-hour pre-employment development workshop that includes career exploration and employment skills development after workshop, participants have post-hiring support for six months. Transition to Employment for Newcomers for newcomers including internationally trained professionals and tradespeople individual coaching, linking to resources, and employment workshops ?Women In Food and Customer Service helps women gain the knowledge and skills needed to get a job in the customer service/food service sectors, includes: customer service and food sector-based labor market trends food and customer service workplace environment; customer service essentials how to use a cash register; food handling certification understanding employer hiring and screening practices job maintenance TRIEC Mentoring Partnership -see separate listing",NA,"Permanent residents, refugee claimants, Convention refugees, and first generation Canadians",English * French * Arabic * Croatian * Polish * Romanian * Russian * Serbian,Toronto,"October 18, 2022"
Quaker Committee for Refugees,https://www.centralwesthealthline.ca/displayService.aspx?id=132743,NA,"Friends' Meeting House, 60 Lowther Ave Toronto, ON M5R 1C7",refugees@torontoquakers.org,416-964-9669,"Settlement services for immigrants and refugees Settlement services for newcomers information, referral and counselling - social assistance, immigration orientation, form filling translation and interpretation also every Thursday offers services at the Immigration and Refugee Board of Canada, Immigration Holding Centre",None,New immigrants and refugees,English * Spanish,Toronto,"September 27, 2022"
Rainbow / Korean Information and Social Services,https://www.centralwesthealthline.ca/displayService.aspx?id=133515,NA,"Korean Canadian Cultural Centre; 1133 Leslie St Suite 207 Toronto, ON M3C 2J6",kinforss@yahoo.co.kr,416-617-1231,Settlement services and food bank * registered charity COVID19 -- call for service Settlement services * information and referral * counselling * anger management * translation and interpretation * seminars and workshops * information on Korean culture and community,None,"Korean newcomers, including seniors and students Residency Requirements: Toronto",NA,Toronto,"July 23, 2020"
Refugee Sponsorship Training Program,https://www.centralwesthealthline.ca/displayService.aspx?id=168982,http://www.rstp.ca,"55 Town Centre Court, Suite 401 Toronto, ON M1P 4X4",info@rstp.ca,416-290-1700,"Supports groups that either sponsor or are interested in sponsoring refugees by providing information, resources and training Application",NA,Groups either sponsoring refugees or interested in sponsoring refugees,English * French,Canada,"July 12, 2022"
Settlement.Org,https://www.centralwesthealthline.ca/displayService.aspx?id=14482,http://www.settlement.org,NA,NA,NA,"Website provides newcomers with information and resources to settle in Ontario * topics include health, employment, immigration and citizenship, housing, education, community, daily life, and legal services * searchable regional directory of settlement agencies and services * forum for answering questions and sharing experiences",Free,NA,English * French,Ontario,"May 13, 2022"
SociÃ©tÃ© Ãconomique de lâOntario (SÃO),https://www.centralwesthealthline.ca/displayService.aspx?id=189294,http://seo-ont.ca/,"214 Montreal Rd, Suite 202 Ottawa, ON K1L 8L8",NA,613-590-2493,"Provincial network with a professional team that takes an innovative approach to economic development, entrepreneurship, employability and immigration * engages all of the Francophone and bilingual community's stakeholders in fostering the prosperity of Ontario and Canada",NA,Francophone newcomers,English * French,Ontario,"May 13, 2022"
Toronto Community Hostel - Emergency Shelter,https://www.centralwesthealthline.ca/displayService.aspx?id=132827,http://www.tchostel.ca,"344 Bloor St W Suite 402 Toronto, ON M5S 3A7",rishi.tch@rogers.com,NA,"Emergency shelter * registered charity COVID19 -- open for service Emergency shelter, capacity 24 * meals, clothing * referrals to other services, assistance and advocacy with Ontario Works * assistance with the refugee claim process and immigration procedures * settlement counselling and orientation, employment counselling, children's program Housing supports for current shelter clients -- includes counselling, housing escorts and advocacy with landlords Follow-up housing supports for former shelter clients -- includes eviction prevention, crisis intervention and personal supports, assistance with immigration procedures and documents, advocacy for housing, immigration and social assistance, housing assistance, volunteer placement",None,"Refugee singles, families and children",English * French * Arabic * Bulgarian * Dari * Farsi * Italian * Punjabi * Russian * Spanish * Swahili * Urdu,Toronto,"June 23, 2020"
Toronto Public Library,https://www.centralwesthealthline.ca/displayService.aspx?id=133512,http://www.torontopubliclibrary.ca,"789 Yonge St Toronto, ON M4W 2G8",NA,NA,"Lending, reference and research libraries Lending, reference and research libraries materials in print and other various formats including multiple languages additional library services community programs Branch Locations Library Services-- bookmobile and home library services computers Internet access, including free Wi-Fi digital services online research special collections musical instrument lending library meeting rooms Community Programs-- classes, workshops, outreach programs and exhibits English as a Second Language (ESL) classes literacy homework help seasonal income tax clinics Library Settlement Partnerships -- outreach program offering settlement information and referral Seniors Tech Help-- call Answerline 416-397-5981 Monday-Friday 9 am-8 pm, Saturday 9 am-4:30pm staff provides quick answers over the phone to tech questions if longer help session required, contact local branch",None,"Those living, working or attending school in Toronto",English * French,Toronto,"September 12, 2022"
Toronto Public Library - North York Central Library,https://www.centralwesthealthline.ca/displayService.aspx?id=133839,http://www.torontopubliclibrary.ca,"5120 Yonge St Toronto, ON M2N 5N9",NA,416-395-5796,"Lending, reference and research libraries Lending and reference collections for adults, children and youth focused collections include local history, multilingual, Native Peoples' and parenting services include computer centres, music practice room, fabrication studio, digital innovation hub, digital piano lab, wifi, study spaces, programs, printing, copying and room rentals Community programs - classes, workshops and exhibits Adult Literacy -- see separate record citizenship test preparation employment support for foreign-trained professionals internet search skills training children's programs Digital Literacy Program Financial programs Job Search Newcomer Services seasonal income tax clinic For more information visit website","Fees for non-residents, visit website for information","Open to all, eligibility requirements to borrow materials visit website for information",English,Toronto,"November 14, 2022"
WoodGreen Community Services - Newcomer Programs and Services,https://www.centralwesthealthline.ca/displayService.aspx?id=133909,http://www.woodgreen.org/services/newcomers,"815 Danforth Ave Suite 300 Toronto, ON M4J 1L2",newcomerinfo@woodgreen.org,416-645-6000 ext 2100/2200,"Multiservice community centre Newcomer Settlement services orientation to Canada adaptation and integration supportive counselling help with selected documentation information and referral newcomer workshops online workshops Canadian citizenship preparation Syrian family newcomer support program social and recreational activities Newcomer Youth Settlement-- for youth 13-24 years friendship and emotional support individual support homework club computer camp sports club and social and recreational activities orientation to postsecondary education job search support support for at-risk newcomer youth Community Connections Program mentorship for Internationally Trained Professionals -- one-on-one or online program matches internationally trained professionals with a mentor from a similar profession for cultural and professional orientation and English tutoring group activities for newcomers and refugees to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Chinese Workers Network Bridging Program for Internationally Trained Professionals-- 8 week full time, 16 week part time, sector specific language training for finance and accounting, office administration, customer service, health care, information technology individual counselling action plan development paid and unpaid job placements mentoring and networking resume and interview preparation business communication, Canadian work environment, telephone, business writing and presentation skills on-going support child care and TTC fare available to qualifying participants Financial literacy seasonal income tax clinic -- open to all Some programs and services provided off site",None,Newcomers (immigrants and refugees),NA,Toronto,"March 2, 2020"
World University Service of Canada,https://www.centralwesthealthline.ca/displayService.aspx?id=168975,http://wusc.ca,"1404 Scott St Ottawa, ON K1Y 4M8",wusc@wusc.ca,613-798-7477,"Works towards international development and towards equality and sustainability * works with partners around the world to provide education, employment and empowerment opportunities to disadvantaged youth Includes initiatives in gender equality, education, health, employment and development, and life skills * refugee programs",NA,Varies according to the program,English * French,Canada,"April 28, 2022"
YMCA of Greater Toronto,https://www.centralwesthealthline.ca/displayService.aspx?id=132893,http://www.ymcagta.org,"Administrative office 2200 Yonge St, Suite 300 Toronto, ON M4S 2C6",memberservices@ymcagta.org,416-928-9622,"Organization that offer children, teens, young adults and families the opportunity for personal growth, community involvement and leadership Registered Charity COVID19 -- check the dedicated website We're getting ready to welcome you back Health, social, recreational and community services * child and youth camps and outdoor education",NA,Residents of the Greater Toronto Area,English,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","July 24, 2020"
